Vehicle Make,Total Violations,Percentage of Violations
TOYOT,4153,13.463658172858716
HONDA,3548,11.502301757115996
NISSA,3235,10.487583479219348
FORD,2959,9.59281592426895
Other,2944,9.544187252804253
CHEVR,1588,5.148155352395772
JEEP,1516,4.914737729365234
ME/BE,1480,4.798028917849964
BMW,1227,3.977825325812099
HYUND,1142,3.7022628541788243
DODGE,1019,3.3035077481683204
LEXUS,947,3.0700901251377815
FRUEH,716,2.3212085845814694
INFIN,587,1.9030020099850873
VOLKS,577,1.87058289567529
ACURA,545,1.7668417298839396
SUBAR,511,1.6566167412306296
CHRYS,508,1.6468910069376903
AUDI,457,1.4815535239577255
KIA,445,1.442650586785969
GMC,426,1.3810542695973547
MAZDA,316,1.024444012189587
